Key,SourceString
OP01_01,おい！いたぞ！追えーー！！
OP01_02,（ハァ...ハァ.....）
OP01_03,.....がなきゃ..
OP01_04,（ハァ..ハァ...）
OP01_05,急がななきゃ...！！
OP01_06,早く..助けにいかないと...！
OP01_07,くそっ、どこに行った！手分けして探すぞ
OP01_08,隊長、こういう時って別れると個別に倒されません？
OP01_09,そうだな、じゃあまずはこっちの部屋から探すぞ
OP01_10,いないか、次は向こうを探すぞ
OP01_11,助かった...早く行かないと！
OP01_12,・・・！！
OP01_13,DX！
OP01_14,しっかりして！！！
OP01_15,びりけん！DXが奴らに襲われたって聞いて...！
OP01_16,・・・DX！！！
OP01_17,おはじゃ！社長！おハグ！DXが危ないの！
OP01_18,もう..だめかも....
OP01_19,みんなは...逃げて....
OP01_20,....（バタッ）....
OP01_21,おいっ！...
OP01_22,....
OP01_23,くっそおぉおおおおおお！！
OP01_24,みんな、行くよ。
OP01_25,なめんじゃねえええええ！！！
OP01_26,DX...ごめん....
OP01_27,君たち、こんなところで立ち止まっていいのかい？
OP01_28,・・・その声は！
OP01_29,JxNxSxK先生！
OP01_30,まだ外には奴らが大勢いる
OP01_31,ここが崩壊するのも時間の問題だ
OP01_32,びりけん、
OP01_33,おはじゃ、
OP01_34,社長、
OP01_35,おハグ、
OP01_36,君たち Bit Sound Heros の力が必要だ
OP01_37,頼んだぞ。
OP01_38,どうやら奴らは研究室でこの面倒な奴らを作っているらしい
OP01_39,その研究室が